ano,pais,quantidade_exportacao,valor_exportacao,valor_exportacao_por_litro,producao_brasileira,percentual_exportacao
2008,Chipre,0,0,0.0,334841312,0.0
2008,Cingapura,1233,4699,3.81,334841312,0.000368234132352223
2008,Colombia,0,0,0.0,334841312,0.0
2008,Comores,0,0,0.0,334841312,0.0
2008,Congo,0,0,0.0,334841312,0.0
2008,Coreia do Sul,3520,14366,4.08,334841312,0.0010512442383453567
2008,Costa do Marfim,0,0,0.0,334841312,0.0
2008,Costa Rica,55,200,3.64,334841312,1.64256912241462e-05
2008,Croacia,0,0,0.0,334841312,0.0
2008,Cuba,0,0,0.0,334841312,0.0
2008,Curacao,0,0,0.0,334841312,0.0
2008,Dinamarca,518,15905,30.7,334841312,0.0001547001464383224
2008,Dominica,0,0,0.0,334841312,0.0
2008,El Salvador,0,0,0.0,334841312,0.0
2008,Emirados Arabes Unidos,2437,12298,5.05,334841312,0.0007278074456953508
2008,Equador,0,0,0.0,334841312,0.0
2008,Eslovaquia,585,16063,27.46,334841312,0.00017470962483864596
2008,Espanha,2942,6834,2.32,334841312,0.0008786251560261476
2008,Estados Unidos,443895,804607,1.81,334841312,0.1325687673807705
2008,Estonia,4114,9730,2.37,334841312,0.0012286417035661358
2008,Filipinas,0,0,0.0,334841312,0.0
2008,Finlandia,0,0,0.0,334841312,0.0
2008,Franca,11078,27500,2.48,334841312,0.0033084328614743927
2008,Gana,18168,25642,1.41,334841312,0.005425853784732512
2008,Gibraltar,0,0,0.0,334841312,0.0
2008,Grecia,0,0,0.0,334841312,0.0
2008,Guatemala,0,0,0.0,334841312,0.0
2008,Guiana,0,0,0.0,334841312,0.0
2008,Guiana Francesa,0,0,0.0,334841312,0.0
2008,Guine-Bissau,0,0,0.0,334841312,0.0
2008,Guine Equatorial,548,1417,2.59,334841312,0.0001636596143787658
2008,Haiti,20,20,1.0,334841312,5.972978626962255e-06
2008,Honduras,162,580,3.58,334841312,4.838112687839427e-05
2008,Hong Kong,2430,13460,5.54,334841312,0.000725716903175914
2008,Hungria,0,0,0.0,334841312,0.0
2008,Ilha de Man,0,0,0.0,334841312,0.0
2008,Ilhas Virgens,0,0,0.0,334841312,0.0
2008,India,0,0,0.0,334841312,0.0
2008,Indonesia,0,0,0.0,334841312,0.0
2008,Ira,0,0,0.0,334841312,0.0
2008,Iraque,0,0,0.0,334841312,0.0
2008,Irlanda,0,0,0.0,334841312,0.0
2008,Italia,0,0,0.0,334841312,0.0
2008,Jamaica,0,0,0.0,334841312,0.0
2008,Japao,232293,178333,0.77,334841312,0.06937405620964715
2008,Jordania,0,0,0.0,334841312,0.0
2008,Letonia,0,0,0.0,334841312,0.0
2008,Libano,0,0,0.0,334841312,0.0
2008,Liberia,0,0,0.0,334841312,0.0
2008,Luxemburgo,13606,42341,3.11,334841312,0.004063417359922422
2008,Malasia,0,0,0.0,334841312,0.0
2008,Malta,0,0,0.0,334841312,0.0
2008,Ilhas Marshall,0,0,0.0,334841312,0.0
2008,Mauritania,0,0,0.0,334841312,0.0
2008,Mexico,0,0,0.0,334841312,0.0
2008,Montenegro,0,0,0.0,334841312,0.0
2008,Namibia,340,722,2.12,334841312,0.00010154063665835834
2008,Nicaragua,0,0,0.0,334841312,0.0
2008,Nigeria,7560,10920,1.44,334841312,0.0022577859209917325
2008,Noruega,0,0,0.0,334841312,0.0
2008,Nova Caledonia,0,0,0.0,334841312,0.0
2008,Nova Zelandia,0,0,0.0,334841312,0.0
2008,Holanda,340412,783635,2.3,334841312,0.10166368001807377
2008,Panama,1161,1882,1.62,334841312,0.00034673140929515893
2008,Paraguai,2191901,1374088,0.63,334841312,0.6546088912708596
2008,Peru,0,0,0.0,334841312,0.0
2008,Polonia,20290,58353,2.88,334841312,0.006059586817053208
2008,Porto Rico,0,0,0.0,334841312,0.0
2008,Portugal,49090,48942,1.0,334841312,0.014660676039878856
2008,Quenia,0,0,0.0,334841312,0.0
2008,Reino Unido,100097,155076,1.55,334841312,0.02989386208115204
2008,Republica Dominicana,0,0,0.0,334841312,0.0
2008,Russia,6207658,2352768,0.38,334841312,1.8539104278745628
2008,Sao Tome e Principe,0,0,0.0,334841312,0.0
2008,Sao Vicente e Granadinas,0,0,0.0,334841312,0.0
2008,Senegal,0,0,0.0,334841312,0.0
2008,Serra Leoa,0,0,0.0,334841312,0.0
2008,Singapura,0,0,0.0,334841312,0.0
2008,Suazilandia,0,0,0.0,334841312,0.0
2008,Suecia,26984,84564,3.13,334841312,0.008058742763497474
2008,Suica,54384,216317,3.98,334841312,0.016241723482435765
2008,Suriname,900,1625,1.81,334841312,0.0002687840382133015
2008,Tailandia,0,0,0.0,334841312,0.0
2008,Taiwan,10030,18679,1.86,334841312,0.002995448781421571
2008,Tanzania,0,0,0.0,334841312,0.0
2008,Republica Tcheca,17135,64709,3.78,334841312,0.005117349438649912
2008,Togo,5160,7800,1.51,334841312,0.0015410284857562617
2008,Trindade e Tobago,0,0,0.0,334841312,0.0
2008,Tunisia,0,0,0.0,334841312,0.0
2008,Turquia,0,0,0.0,334841312,0.0
2008,Tuvalu,0,0,0.0,334841312,0.0
2008,Uruguai,0,0,0.0,334841312,0.0
2008,Vanuatu,0,0,0.0,334841312,0.0
2008,Venezuela,0,0,0.0,334841312,0.0
2008,Vietna,0,0,0.0,334841312,0.0
2009,Afeganistao,0,0,0.0,245318774,0.0
2009,Africa do Sul,0,0,0.0,245318774,0.0
2009,Alemanha,225086,393482,1.75,245318774,0.09175245592903543
2009,Angola,54786,84235,1.54,245318774,0.022332575329110357
2009,Anguilla,0,0,0.0,245318774,0.0
2009,Antigua e Barbuda,0,0,0.0,245318774,0.0
2009,Antilhas Holandesas,8235,10651,1.29,245318774,0.003356856821728613
2009,Argentina,162,4523,27.92,245318774,6.603652764056288e-05
2009,Aruba,0,0,0.0,245318774,0.0
2009,Australia,1014,9195,9.07,245318774,0.0004133397470835233
2009,Austria,0,0,0.0,245318774,0.0
2009,Bahamas,0,0,0.0,245318774,0.0
2009,Bangladesh,0,0,0.0,245318774,0.0
2009,Barbados,0,0,0.0,245318774,0.0
2009,Barein,0,0,0.0,245318774,0.0
2009,Belgica,125962,58764,0.47,245318774,0.051346253670744336
2009,Belize,0,0,0.0,245318774,0.0
2009,Benin,0,0,0.0,245318774,0.0
2009,Bolivia,40463,20729,0.51,245318774,0.016494049493333926
2009,Bosnia-Herzegovina,0,0,0.0,245318774,0.0
2009,Brasil,0,0,0.0,245318774,0.0
2009,Bulgaria,0,0,0.0,245318774,0.0
2009,Cabo Verde,0,0,0.0,245318774,0.0
2009,Camaroes,0,0,0.0,245318774,0.0
2009,Canada,15664,73445,4.69,245318774,0.006385161536801093
2009,Catar,0,0,0.0,245318774,0.0
2009,Ilhas Cayman,0,0,0.0,245318774,0.0
2009,Chile,1475,4297,2.91,245318774,0.0006012585078384584
2009,China,1553416,482400,0.31,245318774,0.6332234482795841
2009,Chipre,0,0,0.0,245318774,0.0
2009,Cingapura,2419,6110,2.53,245318774,0.0009860639528550717
2009,Colombia,0,0,0.0,245318774,0.0
2009,Comores,0,0,0.0,245318774,0.0
2009,Congo,0,0,0.0,245318774,0.0
2009,Coreia do Sul,0,0,0.0,245318774,0.0
2009,Costa do Marfim,0,0,0.0,245318774,0.0
2009,Costa Rica,0,0,0.0,245318774,0.0
2009,Croacia,0,0,0.0,245318774,0.0
2009,Cuba,0,0,0.0,245318774,0.0
2009,Curacao,0,0,0.0,245318774,0.0
2009,Dinamarca,1980,21780,11.0,245318774,0.0008071131156068797
2009,Dominica,0,0,0.0,245318774,0.0
2009,El Salvador,55,100,1.82,245318774,2.241980876685777e-05
2009,Emirados Arabes Unidos,1398,4032,2.88,245318774,0.0005698707755648576
2009,Equador,0,0,0.0,245318774,0.0
2009,Eslovaquia,0,0,0.0,245318774,0.0
2009,Espanha,2181,4050,1.86,245318774,0.000889047325827578
2009,Estados Unidos,372319,660066,1.77,245318774,0.15176946873214034
2009,Estonia,5438,10802,1.99,245318774,0.002216707637712228
